Source: CPS Annual Social and Economic (March) Supplement 202003
Weight used: FSUP_WGT
"Universe: selected geographies: Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, District of Columbia, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, Wyoming"
"","main reason for moving (NXTRES)","","","","","","","","","","","","","","","","","","","","",""
"Previous residence,Recode-Region(Type of Move) recode (MIG_MTR4_RC1)","Total","niu","change in marital status","to establish own household","other family reason","relationship with unmarried partner (boy/girlfriend, fiance, etc.)","new job or job transfer","to look for work or lost job","to be closer to work/easier commute","retired","other job-related reason","wanted to own home, not rent","wanted new or better house/apartment","wanted better neighborhood/less crime","wanted cheaper housing","foreclosure/eviction","other housing reason","to attend or leave college","change of climate","health reasons","natural disaster (hurricane, tornado, etc.)","other reason"
" -> Total","316885377","287557869","1781721","3128172","2551943","1515738","3376969","486931","1436757","396973","117881","2296943","4285361","1213865","1929555","177778","1873968","923736","112539","586767","106594","1027317"
" -> Total -> Total Alabama","4697106","4302764","50537","84537","54437","6365","45876","2569","15625","0","0","18964","32934","31162","1739","6278","28854","5984","0","6516","0","1965"
"Not Elsewhere Classified","4321181","4302764","5222","0","5467","0","7728","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Different County, Same State","106281","0","11797","13120","21414","0","26259","0","7585","0","0","4008","5410","0","0","0","8207","0","0","6516","0","1965"
"Different State","22734","0","4736","0","5918","0","6096","0","0","0","0","0","0","0","0","0","0","5984","0","0","0","0"
"Same County","246910","0","28782","71417","21638","6365","5793","2569","8040","0","0","14956","27524","31162","1739","6278","20647","0","0","0","0","0"
" -> Total -> Total Alaska","705237","616158","1757","10313","8501","2632","17408","3507","1848","0","282","4245","20435","515","2233","0","7655","1237","1126","2545","0","2840"
"Not Elsewhere Classified","618091","616158","0","0","0","0","0","0","414","0","282","0","0","0","0","0","0","1237","0","0","0","0"
"Different County, Same State","25532","0","0","3788","4254","918","3517","3071","437","0","0","0","3130","0","556","0","3367","0","0","1173","0","1321"
"Different State","11949","0","362","783","1290","948","6717","436","0","0","0","0","0","0","0","0","0","0","1126","0","0","287"
"Same County","49665","0","1395","5742","2957","766","7174","0","997","0","0","4245","17305","515","1677","0","4288","0","0","1372","0","1232"
" -> Total -> Total Arizona","7181645","6319209","45957","119885","84222","18512","72362","13446","8577","15680","0","63827","143162","19035","59455","18912","66873","17150","10990","7308","0","77083"
"Not Elsewhere Classified","6330566","6319209","1886","0","6278","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3193"
"Different County, Same State","135131","0","0","4696","13489","6580","29195","11492","4318","0","0","0","0","0","18319","0","0","0","0","2496","0","44546"
