Source: CPS Annual Social and Economic (March) Supplement 202103
Weight used: FSUP_WGT
"Universe: selected geographies: Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, District of Columbia, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, Wyoming"
"","main reason for moving (NXTRES)","","","","","","","","","","","","","","","","","","","","",""
"Previous residence,Recode-Region(Type of Move) recode (MIG_MTR4_RC1)","Total","niu","change in marital status","to establish own household","other family reason","relationship with unmarried partner (boy/girlfriend, fiance, etc.)","new job or job transfer","to look for work or lost job","to be closer to work/easier commute","retired","other job-related reason","wanted to own home, not rent","wanted new or better house/apartment","wanted better neighborhood/less crime","wanted cheaper housing","foreclosure/eviction","other housing reason","to attend or leave college","change of climate","health reasons","natural disaster (hurricane, tornado, etc.)","other reason"
" -> Total","318435622","291766393","1250656","2853115","2448885","1065739","2377218","391891","1133086","224099","77017","2010158","4576929","1579137","2348730","123895","1523739","822000","196686","429505","79608","1157136"
" -> Total -> Total Alabama","4807273","4523997","23052","55294","26254","4502","44953","0","4935","4192","0","20952","22827","21991","7169","7311","9884","5792","7332","1443","0","15393"
"Not Elsewhere Classified","4523997","4523997","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Different County, Same State","65436","0","12309","11457","3216","1364","12470","0","0","0","0","0","1919","5849","1466","0","0","0","2961","1443","0","10982"
"Different State","51857","0","0","2854","6586","0","20058","0","2093","4192","0","0","0","0","0","6357","2732","2233","3417","0","0","1335"
"Same County","165983","0","10743","40983","16452","3138","12425","0","2842","0","0","20952","20908","16142","5703","954","7152","3559","954","0","0","3076"
" -> Total -> Total Alaska","719214","652043","0","860","2210","424","26843","1528","1547","773","3088","2317","8532","3085","10855","981","1957","0","450","1066","0","655"
"Not Elsewhere Classified","652043","652043","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Different County, Same State","14554","0","0","0","726","0","10478","0","0","0","0","811","1962","0","0","0","577","0","0","0","0","0"
"Different State","16275","0","0","0","472","0","12688","1528","0","0","0","0","360","0","0","0","777","0","450","0","0","0"
"Same County","36342","0","0","860","1012","424","3677","0","1547","773","3088","1506","6210","3085","10855","981","603","0","0","1066","0","655"
" -> Total -> Total Arizona","7475147","6611621","72569","39546","79339","16216","57260","45930","24150","0","0","81776","82645","95914","137312","0","36427","26324","20502","10850","0","36766"
"Not Elsewhere Classified","6668270","6611621","0","0","0","0","11382","0","0","0","0","0","10651","0","32774","0","0","0","0","0","0","1842"
"Different County, Same State","54117","0","20074","0","20355","0","0","0","0","0","0","0","0","0","10464","0","0","0","0","0","0","3224"
"Different State","213623","0","15576","4872","26039","6482","20906","20405","7918","0","0","10359","8299","9982","24233","0","1854","14378","20502","0","0","21818"
"Same County","539137","0","36919","34674","32945","9734","24972","25525","16232","0","0","71417","63695","85932","69841","0","34573","11946","0","10850","0","9882"
" -> Total -> Total Arkansas","2898852","2581196","3550","44120","18727","16711","33971","1718","1648","6904","1841","7217","52746","36320","42021","0","31612","6705","0","2667","3759","5419"
